lat,lon,elevation,distance,slope,speed_optimal
43.662451,40.311671,988.0,7564.23,0.0,50.0
43.662511,40.311681,1039.0,7570.95,82.4937,10.0
43.662564,40.311651,1039.0,7577.31,0.0,50.0
43.662618,40.311579,1039.0,7585.66,0.0,50.0
43.662722,40.3114,1039.0,7604.12,0.0,50.0
43.662818,40.311273,1039.0,7618.9,0.0,50.0
43.662897,40.311211,1039.0,7629.0,0.0,50.0
43.662923,40.31119,1039.0,7632.35,0.0,50.0
43.663046,40.311148,1039.0,7646.44,0.0,50.0
43.663249,40.311124,1039.0,7669.09,0.0,50.0
43.663517,40.311192,1039.0,7699.39,0.0,50.0
43.663739,40.311313,1039.0,7725.93,0.0,50.0
43.663928,40.311453,1039.0,7749.77,0.0,50.0
43.66412,40.311658,1039.0,7776.74,0.0,50.0
43.664572,40.312119,1039.0,7839.2,0.0,50.0
43.664649,40.312222,994.0,7851.12,-75.1705,10.0
43.664673,40.312289,994.0,7857.13,0.0,50.0
43.664684,40.312372,994.0,7863.92,0.0,50.0
43.664668,40.312471,994.0,7872.08,0.0,50.0
43.664618,40.312543,1047.0,7880.11,81.3865,10.0
43.664515,40.31254,1095.0,7891.56,76.577,10.0
43.664424,40.312523,1095.0,7901.77,0.0,50.0
43.664304,40.312491,1039.0,7915.36,-76.3598,10.0
43.664243,40.312476,1039.0,7922.25,0.0,50.0
43.664036,40.312424,1039.0,7945.65,0.0,50.0
43.663791,40.312393,1039.0,7973.0,0.0,50.0
43.663637,40.312399,1039.0,7990.13,0.0,50.0
43.663428,40.312433,1039.0,8013.53,0.0,50.0
43.663256,40.31249,1039.0,8033.2,0.0,50.0
43.663111,40.312559,1095.0,8050.25,73.0646,10.0
43.662982,40.312675,1095.0,8067.37,0.0,50.0
43.662781,40.312897,1095.0,8095.97,0.0,50.0
43.662568,40.313201,1095.0,8130.02,0.0,50.0
43.662434,40.313407,1049.0,8152.3,-64.1522,10.0
43.662292,40.313668,1049.0,8178.57,0.0,50.0
43.662195,40.313896,1049.0,8199.85,0.0,50.0
43.662068,40.314242,1049.0,8231.06,0.0,50.0
43.661949,40.314633,1089.0,8265.18,49.5337,10.0
43.661685,40.315651,1089.0,8352.17,0.0,50.0
43.661397,40.316643,1089.0,8438.16,0.0,50.0
43.6613,40.317023,1131.0,8470.57,52.3395,10.0
